,,,Count,,,,,,,,,,,,,"Rate per 100,000 population",,,,,,,,,,,
Region,Sub-region,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa,Eastern Africa,Burundi,,,,,,587,683,692,646,"1,014",953,"1,144",,,,,,,6.7,7.5,7.3,6.6,10,9.1,10.6
,,Kenya,,"1,440","1,365","1,291",876,735,847,922,934,786,953,895,,,4.2,3.9,3.6,2.4,1.9,2.2,2.3,2.3,1.8,2.2,2
,,Mauritius,53,40,38,64,77,69,57,51,58,,,,,4.4,3.3,3.1,5.2,6.2,5.6,4.6,4.1,4.6,,,
,,Mozambique,,102,64,46,41,47,44,,,,,,,,0.5,0.3,0.2,0.2,0.2,0.2,,,,,
,,Rwanda,,,,,,383,293,312,257,265,265,,,,,,,,3.9,2.9,3,2.4,2.4,2.4,
,,Uganda,537,549,732,750,599,"1,536",619,709,520,530,"1,042","1,099",,2,2,2.6,2.6,2,5,1.9,2.1,1.5,1.5,2.8,2.9
,,Zimbabwe,"3,858","4,997","4,790","4,967","4,762","3,186",,,,,,,,30.2,38.8,36.9,37.8,35.8,23.6,,,,,,
,Middle Africa,Cameroon*,451,555,592,580,447,,492,769,744,654,283,300,,2.6,3.1,3.3,3.1,2.3,,2.5,3.7,3.5,3,1.3,1.3
,,Sao Tome and Principe,,,,1,2,5,7,2,3,,,,,,,,0.6,1.2,3.1,4.2,1.2,1.7,,,
,Northern Africa,Algeria*,723,630,376,352,386,345,385,304,292,773,681,673,,2.2,1.9,1.1,1,1.1,1,1.1,0.8,0.8,2.1,1.8,1.7
,,Egypt,20,21,44,48,63,87,74,91,102,,,,,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
,,Morocco,618,453,475,"1,063","1,215","1,130","1,507",,,"1,280","2,387",,,2.1,1.5,1.6,3.5,3.9,3.6,4.8,,,3.9,7.1,
,,Sudan,,,,,,"1,189",,,,,,,,,,,,,3.5,,,,,,
,Southern Africa,Botswana,,,,,,,"1,754","1,865","1,800",,,"2,034",,,,,,,,87.4,91.1,86.1,,,91.6
,,Lesotho,,,,,"1,797","1,878","1,777",,,,,,,,,,,91.9,95.2,89.3,,,,,
,,Swaziland,785,849,,,,,,,,,,,,72.2,77.6,,,,,,,,,,
,Western Africa,Cabo Verde,,,,,,,,120,110,133,108,,,,,,,,,,24.5,22.2,26.6,21.3,
,,Guinea,,,,,92,,,,,,,,,,,,,0.9,,,,,,,
,,Nigeria,,,,,"1,545",,,,,,800,,,,,,,1,,,,,,0.5,
,,Senegal,,,301,159,167,416,710,693,,,,,,,,2.7,1.4,1.4,3.4,5.6,5.3,,,,
,,Sierra Leone,,,,,135,79,,,,,,,,,,,,2.5,1.4,,,,,,
Americas,Caribbean,Bahamas,,,87,72,135,118,109,78,107,96,,,,,,26.4,21.4,39.4,33.9,30.7,21.6,29.2,25.8,,
,,Barbados,,84,77,75,72,62,68,63,70,53,58,54,,,30.8,28.1,27.3,26.1,22.4,24.4,22.5,24.9,18.8,20.5,19.1
,,Dominican Republic,,,,,,,,,,"1,591",,294,,,,,,,,,,,15.7,,2.8
